sample_name	antibiotics_treatment_end_timestamp	antibiotics_treatment_start_timestamp	birth_timestamp	bis	cage	cage_timestamp	cohort	collection_timestamp	date_of_shipment	death_timestamp	demux_index	description	diseased	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	exposure_to_infections	facility	facs_peripheralblood_bcells	facs_timestamp	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_line	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	location_stool_in_pbs	longitude	mouse_dead	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	stool_dna_concentration	stool_dna_concentration_units	stool_dna_location	taxon_id	timepoint_title	timepoint_weeks	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
11953.A428.tp00	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2018-04-16	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	83	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	Box1: Rack 9 Caja 3C - 1	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	217	ng/ul	Box1 - 1	410661	Before Antibiotic treatment	0	0.092	0.169	grams	grams
11953.A428.tp04	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2018-05-16	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	113	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	Box1: Rack 9 Caja 3C - 13	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	80.2	ng/ul	Box1 - 13	410661	During Antibiotic treatment (4 weeks after treatment initiation)	4	0.218	0.343	grams	grams
11953.A428.tp08	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2018-06-13	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	141	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	Box1: Rack 9 Caja 3C - 31	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	44.5	ng/ul	Box1 - 31	410661	At the end of the antibiotic treatment (8 weeks after treatment initiation)	8	0.294	0.334	grams	grams
11953.A428.tp12	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2018-07-13	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	171	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	Box1: Rack 9 Caja 3C - 49	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	99.1	ng/ul	Box1 - 49	410661	1 month after treatment	12	0.191	0.311	grams	grams
11953.A428.tp20	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2018-09-13	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	233	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	Box1: Rack 9 Caja 3C - 79	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	112.2	ng/ul	Box1 - 79	410661	3 months after treatment	20	0.234	0.211	grams	grams
11953.A428.tp28	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2018-11-13	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	294	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 26	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	300.3	ng/ul	Box 2 - 7	410661	5 months after treatment	28	0.26	0.24	grams	grams
11953.A428.tp36	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2019-01-20	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	362	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 49	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	183.8	ng/ul	Box 2 - 30	410661	7 months after treatment	36	0.22	0.103	grams	grams
11953.A428.tp44	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2019-03-20	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	421	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	Box2: Rack 5 Caja 5D - 71	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	167.6	ng/ul	Box 2 - 52	410661	8 months after treatment	44	0.104	0.074	grams	grams
11953.A428.tpdeath	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2019-04-11	2019-06-03	2019-04-11	not provided	fecal sample A428	pB-ALL	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	443	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A428	10090	not collected	grams	40.96882	not provided	-5.66388	yes	3	1	Germany	TRUE	11953	feces	mouse gut metagenome	female	357.7	ng/ul	Box 2 - 82	410661	death	not applicable	not provided	not provided	grams	grams
11953.A429.tp00	2018-06-13	2018-04-18	2018-01-24	FALSE	#dce6f1.spf_blue	not provided	ABX	2018-04-16	2019-06-03	2018-12-04	not provided	fecal sample A429	no	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	not applicable	SPF	not provided	not provided	Pax5+/-	Spain:Salamanca	83	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	4A+/-	Mus musculus	A429	10090	not collected	grams	40.96882	Box1: Rack 9 Caja 3C - 2	-5.66388	yes	SM	2	Germany	TRUE	11953	feces	mouse gut metagenome	female	77.5	ng/ul	Box1 - 2	410661	Before Antibiotic treatment	0	0.076	0.065	grams	grams
