sample_name	antibiotics_treatment_end_timestamp	antibiotics_treatment_start_timestamp	birth_timestamp	bis	bone_marrow_transplant_timestamp	cage	cage_timestamp	cohort	collection_timestamp	date_of_shipment	death_timestamp	demux_index	description	diseased	donor_genotype	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	exposure_to_infections	facility	facs_peripheralblood_bcells	facs_timestamp	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_line	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	irradiated	irradiation_dosage	irradiation_dosage_units	latitude	location_stool_in_pbs	longitude	mouse_dead	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	stool_dna_concentration	stool_dna_concentration_units	stool_dna_location	taxon_id	timepoint_title	timepoint_weeks	title	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
13189.WT10.tp0			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-17 00:00:00		2020-02-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-10	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		1N	10			13189	feces	mouse gut metagenome	female	19.9	ng/ul	Box1-5	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1383			grams
13189.WT10.tp2			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-01-31 00:00:00		2020-02-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-10	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1N	10			13189	feces	mouse gut metagenome	female	59.4	ng/ul	Box1-25	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1535			grams
13189.WT10.tp4			2019-12-10 00:00:00		2020-01-17 00:00:00	CAGE-2		BMT	2020-02-14 00:00:00		2020-02-18 00:00:00			no	Pax5+/-	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-Pax5+/-	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-10	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1N	10			13189	feces	mouse gut metagenome	female	56	ng/ul	Box1-45	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0563			grams
13189.WT12.tp0			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-01-31 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	120.7	ng/ul	Box1-6	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1568			grams
13189.WT12.tp2			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-14 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	134.1	ng/ul	Box1-26	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1803			grams
13189.WT12.tp4			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-28 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	66		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	51	ng/ul	Box1-46	410661	4 weeks after BMT	4	pax5 bone marrow transplant	0.0512			grams
13189.WT12.tp6			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-13 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	80		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	58.22	ng/ul	Box1-65	410661	6 weeks after BMT	6	pax5 bone marrow transplant	0.2263			grams
13189.WT12.tp8			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-03-27 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	94		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-12	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		1	12			13189	feces	mouse gut metagenome	female	82.9	ng/ul	Box1-77	410661	8 weeks after BMT	8	pax5 bone marrow transplant	0.1544			grams
13189.WT13.tp0			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-01-31 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	38		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-13	10090	not collected	grams	no	not applicable	gray	40.96882		-5.66388		2	13			13189	feces	mouse gut metagenome	female	103.3	ng/ul	Box1-7	410661	0 (before BMT)	0	pax5 bone marrow transplant	0.1895			grams
13189.WT13.tp2			2019-12-24 00:00:00		2020-01-31 00:00:00	CAGE-3		BMT	2020-02-14 00:00:00					no	WT	802.0	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated		SPF			WT-BMT-WT	Spain:Salamanca	52		UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm		Mus musculus	WT-13	10090	not collected	grams	yes	9	gray	40.96882		-5.66388		2	13			13189	feces	mouse gut metagenome	female	101.7	ng/ul	Box1-27	410661	2 weeks after BMT	2	pax5 bone marrow transplant	0.1497			grams
