sample_name	birth_timestamp	cage	cage_timestamp	cohort	collection_timestamp	death_timestamp	demux_index	description	diseased	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	facility	father_subject_id	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	location_stool_in_pbs	longitude	mother_subject_id	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	start_cohousing_timestamp	stool_dna_concentration	stool_dna_concentration_units	taxon_id	timepoint_title	title	tube_number	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
11758.PCRContr1	not applicable	not applicable	not applicable	not applicable	2017-08-07	not applicable	95	do antibiotics treaded PAX5+/- mice develop leukemia faster	not applicable	FALSE	0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	not applicable	not applicable	Germany:Duesseldorf	not applicable	days	not applicable	not applicable	not applicable	not applicable	not applicable	cm	not applicable	not applicable	not applicable	not applicable	grams	51.197356	not applicable	6.790546	not applicable	not applicable	not applicable	not applicable	not applicable	11758	water control	metagenome	not applicable	not applicable	not provided	ng/ul	256318	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	not applicable	not applicable	not applicable	not applicable	not applicable
11758.PCRContr2	not applicable	not applicable	not applicable	not applicable	2017-08-07	not applicable	96	do antibiotics treaded PAX5+/- mice develop leukemia faster	not applicable	FALSE	0	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	not applicable	not applicable	Germany:Duesseldorf	not applicable	days	not applicable	not applicable	not applicable	not applicable	not applicable	cm	not applicable	not applicable	not applicable	not applicable	grams	51.197356	not applicable	6.790546	not applicable	not applicable	not applicable	not applicable	not applicable	11758	water control	metagenome	not applicable	not applicable	not provided	ng/ul	256318	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	not applicable	not applicable	not applicable	not applicable	not applicable
11758.V155.nr1.tp01	2016-12-10	1	2017-01-23	cohousing	2017-03-06	2017-07-13	8	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	I842	Pax5+/-	Spain:Salamanca	86	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V155	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 1	-5.66388	I931	SM	1	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	162.9	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	1	0.249	0.153	grams	grams
11758.V155.nr1.tp10	2016-12-10	1	2017-01-23	cohousing	2017-07-13	2017-07-13	1	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	I842	Pax5+/-	Spain:Salamanca	215	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V155	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 1	-5.66388	I931	SM	1	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	79.9	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.121	0.159	grams	grams
11758.V232.nr7.tp01	2016-12-20	2	2017-01-23	cohousing	2017-03-06	2017-11-17	2	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	I884	Pax5+/-	Spain:Salamanca	76	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V232	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 7	-5.66388	WT	1	7	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	140.8	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	7	0.262	0.147	grams	grams
11758.V232.nr7.tp10	2016-12-20	2	2017-01-23	cohousing	2017-11-17	2017-11-17	6	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	I884	Pax5+/-	Spain:Salamanca	332	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V232	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 6	-5.66388	WT	1	7	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	31.9	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.11	0.084	grams	grams
11758.V233.nr8.tp01	2016-12-20	2	2017-01-23	cohousing	2017-03-06	2017-10-03	1	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	I884	Pax5+/-	Spain:Salamanca	76	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V233	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 8	-5.66388	WT	2	8	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	124	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	8	0.139	0.26	grams	grams
11758.V233.nr8.tp10	2016-12-20	2	2017-01-23	cohousing	not collected	2017-10-03	not provided	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	I884	Pax5+/-	Spain:Salamanca	not applicable	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V233	10090	not collected	grams	40.96882	not provided	-5.66388	WT	2	8	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00		ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	not provided	not provided	grams	grams
11758.V234.nr9.tp01	2016-12-20	2	2017-01-23	cohousing	2017-03-06	2018-02-08	16	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	I884	Pax5+/-	Spain:Salamanca	76	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V234	10090	not collected	grams	40.96882	Box1 - Rack6 - Caja 1D - 9	-5.66388	WT	3	9	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	129.1	ng/ul	410661	1 month together in the same cage and condition	Pax vs wt - SPF vs CF (10month)	9	0.152	0.134	grams	grams
11758.V234.nr9.tp10	2016-12-20	2	2017-01-23	cohousing	2017-12-01	2018-02-08	7	do antibiotics treaded PAX5+/- mice develop leukemia faster	not provided	TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF	I884	Pax5+/-	Spain:Salamanca	346	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V234	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 7	-5.66388	WT	3	9	UKD; as Daniel S.	TRUE	11758	feces	mouse gut metagenome	female	2017-01-23 00:00:00	221.8	ng/ul	410661	10 month together	Pax vs wt - SPF vs CF (10month)	not provided	0.203	0.087	grams	grams
