sample_name	birth_timestamp	cage	cage_timestamp	cohort	collection_timestamp	death_timestamp	demux_index	description	diseased	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	facility	father_subject_id	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	location_stool_in_pbs	longitude	mother_subject_id	mouse_identification	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	start_cohousing_timestamp	stool_dna_concentration	stool_dna_concentration_units	stool_dna_location	taxon_id	timepoint_title	title	tube_number	weight_stool	weight_stool_pbs	weight_stool_pbs_units	weight_stool_units
12981.A308.spf	2018-01-01	cage-3	not applicable	ETV6RUNX1	2018-02-15		52	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	45	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	A308	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 70	-5.66388		2	7	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		106.3	ng/ul	Box2 - 87	410661	unknown housing	ETV6RUNX1 vs wt - SPF vs CF	7	109	96	grams	grams
12981.M060.nr9.spf	2019-02-07	cage-4	not applicable	ETV6RUNX1	2020-01-09		87	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	336	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	M060	10090	not collected	grams	40.96882	2	-5.66388			9	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		95.6	ng/ul		410661		ETV6RUNX1 vs wt - SPF vs CF	9	0.1559		grams	grams
12981.M061.nr10.spf	2019-02-07	cage-4	not applicable	ETV6RUNX1	2020-01-09		88	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	336	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	M061	10090	not collected	grams	40.96882	3	-5.66388			10	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		86.95	ng/ul		410661		ETV6RUNX1 vs wt - SPF vs CF	10	0.1501		grams	grams
12981.M062.nr11.spf	2019-02-07	cage-4	not applicable	ETV6RUNX1	2020-01-09		89	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	336	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	M062	10090	not collected	grams	40.96882	4	-5.66388			11	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		56.5	ng/ul		410661		ETV6RUNX1 vs wt - SPF vs CF	11	0.2831		grams	grams
12981.M193.nr14.spf	2019-03-05	cage-6	not applicable	ETV6RUNX1	2020-01-09		92	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	310	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	M193	10090	not collected	grams	40.96882	7	-5.66388			14	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		62.9	ng/ul		410661		ETV6RUNX1 vs wt - SPF vs CF	14	0.2999		grams	grams
12981.M248.nr15.spf	2019-03-05	cage-6	not applicable	ETV6RUNX1	2020-01-09		93	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	310	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	M248	10090	not collected	grams	40.96882	8	-5.66388			15	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		41.8	ng/ul		410661		ETV6RUNX1 vs wt - SPF vs CF	15	0.2689		grams	grams
12981.M249.nr12.spf	2019-03-08	cage-5	not applicable	ETV6RUNX1	2020-01-09		90	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	307	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	M249	10090	not collected	grams	40.96882	5	-5.66388			12	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		49.5	ng/ul		410661		ETV6RUNX1 vs wt - SPF vs CF	12	0.2363		grams	grams
12981.M250.nr13.spf	2019-03-08	cage-5	not applicable	ETV6RUNX1	2020-01-09		91	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	307	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	M250	10090	not collected	grams	40.96882	6	-5.66388			13	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		42.2	ng/ul		410661		ETV6RUNX1 vs wt - SPF vs CF	13	0.2396		grams	grams
12981.V659.spf	2017-02-27	cage-2	not applicable	ETV6RUNX1	2018-02-15		51	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	353	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V659	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 69	-5.66388		1	6	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		180.8	ng/ul	Box2 - 86	410661	unknown housing	ETV6RUNX1 vs wt - SPF vs CF	6	279	139	grams	grams
12981.V661.spf	2017-02-27	cage-2	not applicable	ETV6RUNX1	2018-02-15		50	WT vs ETV6RUNX1 mice in pB-ALL		TRUE	802	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	SPF		ETV6-RUNX1	Spain:Salamanca	353	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	not collected	cm	Mus musculus	V661	10090	not collected	grams	40.96882	Box2 - Rack6 - Caja 1D - 68	-5.66388		SM	5	UKD; as Daniel S.	TRUE	12981	feces	mouse gut metagenome	female		135.5	ng/ul	Box2 - 85	410661	unknown housing	ETV6RUNX1 vs wt - SPF vs CF	5	98	79	grams	grams
