sample_name	smrt_cell	pacbio_batch
11953.WT11.tp00	1.0	2019-06-19
11953.WT12.tp00	1.0	2019-06-19
11953.WT15.tp00	1.0	2019-06-19
11953.WT16.tp00	1.0	2019-06-19
11953.WT6.tp20	1.0	2019-06-19
11953.WT6.tp00	1.0	2019-06-19
11953.WT7.tp20	1.0	2019-06-19
11953.WT11.tp20	1.0	2019-06-19
11953.WT7.tp00	1.0	2019-06-19
11953.WT12.tp20	1.0	2019-06-19
pk_pool1	1.0	2019-06-19
11953.WT15.tp20	2.0	2019-06-19
11953.WT16.tp20	2.0	2019-06-19
11953.L179.tp0	2.0	2019-06-19
11953.L181.tp0	2.0	2019-06-19
11953.L203.tp0	2.0	2019-06-19
11953.L220.tp0	2.0	2019-06-19
11953.L712.tp0	2.0	2019-06-19
11953.L713.tp0	2.0	2019-06-19
11953.L714.tp0	2.0	2019-06-19
11953.L846.tp0	2.0	2019-06-19
pk_pool2	2.0	2019-06-19
11953.L977.tp0	3.0	2019-06-19
11953.L644.tp0	3.0	2019-06-19
11953.L832.tp0	3.0	2019-06-19
11953.L833.tp0	3.0	2019-06-19
11953.L979.tp0	3.0	2019-06-19
11953.L179.tp20_bad	3.0	2019-06-19
11953.L181.tp20	3.0	2019-06-19
11953.L203.tp20	3.0	2019-06-19
11953.L220.tp20	3.0	2019-06-19
11953.I337.tp0	3.0	2019-06-19
pk_pool3	3.0	2019-06-19
11953.L712.tp20	4.0	2019-06-19
11953.L713.tp20	4.0	2019-06-19
11953.L714.tp20	4.0	2019-06-19
11953.L846.tp20	4.0	2019-06-19
11953.L977.tp20	4.0	2019-06-19
11953.L644.tp20	4.0	2019-06-19
11953.L832.tp20	4.0	2019-06-19
11953.L833.tp20	4.0	2019-06-19
11953.L979.tp20	4.0	2019-06-19
11953.I337.tp20	4.0	2019-06-19
pk_pool4	4.0	2019-06-19
11953.L201.tp0	1.0	2019-07-29
11953.L222.tp0	1.0	2019-07-29
11953.L245.tp0	1.0	2019-07-29
